Date,Open,High,Low,Close,Volume,adj_close,shares
2009-12-17,68.3,68.33,65.51,66.23,761300,64.79,vw
2009-12-18,65.98,69.05,64.56,65.95,1977600,64.51,vw
2009-12-21,67.62,67.96,65.6,66.42,1113200,64.97,vw
2009-12-22,67,67.74,65.06,65.5,3893300,64.07,vw
2009-12-23,66.04,66.15,63.26,63.64,1979400,62.25,vw
2009-12-28,64.38,64.8,63.63,64.51,525100,63.1,vw
2009-12-29,64.88,65.64,63.92,65.63,405400,64.2,vw
2009-12-30,65.79,65.9,64.59,65.74,339400,64.31,vw
2010-01-04,65.15,65.73,63.45,64.5,900700,63.09,vw
2010-01-05,64.5,64.89,62.18,63.25,888000,61.87,vw
2010-01-06,63.59,65.19,62.62,65,1195000,63.58,vw
2010-01-07,64.97,66.31,64.43,65.75,1101400,64.32,vw
2010-01-08,65.9,67.1,65.71,66.46,932200,65.01,vw
2010-01-11,67,67.79,66.55,66.95,1033500,65.49,vw
2010-01-12,66.81,66.88,64.55,65.2,923700,63.78,vw
2010-01-13,64.61,64.96,62.73,63.5,1505800,62.12,vw
2010-01-14,64.16,64.26,62.91,63.5,838700,62.12,vw
2010-01-15,63.5,63.77,61.3,61.46,1008700,60.12,vw
2010-01-18,61.9,62.74,61.63,61.63,616900,60.29,vw
2010-01-19,61.47,61.57,57.91,60.7,1999400,59.38,vw
2010-01-20,60,60.47,58.76,59.5,1113100,58.2,vw
2010-01-21,59.67,60.02,57.68,58.05,976600,56.79,vw
2010-01-22,57.77,59.69,56.68,56.91,1588900,55.67,vw
2010-01-25,56.66,57.82,55.91,57.15,940200,55.9,vw
2010-01-26,56.51,57.8,55.96,57.8,875700,56.54,vw
2010-01-27,57.35,57.67,55.37,56.19,1281200,54.97,vw
2010-01-28,56.8,57.42,56.28,56.5,1391500,55.27,vw
2010-01-29,57,59.55,56.71,58.6,1316800,57.32,vw
2010-02-01,58.5,60.9,58.27,60.62,1356300,59.3,vw
2010-02-02,60.63,61.45,59.46,61.04,1548500,59.71,vw
2010-02-03,61.3,62.95,61.16,61.5,1849700,60.16,vw
2010-02-04,61.65,62.54,60.01,60.6,1477100,59.28,vw
2010-02-05,59.95,60.28,58.35,59.24,1722100,57.95,vw
2010-02-08,59.7,59.7,57.83,58.65,1237000,57.37,vw
2010-02-09,58.77,59.45,56.86,57.42,1075400,56.17,vw
2010-02-10,58,58.95,57.71,58.9,875600,57.62,vw
2010-02-11,59,59.3,56.54,57.15,1282500,55.9,vw
2010-02-12,57.99,58.56,55,56.06,1492200,54.84,vw
2010-02-15,56.11,56.64,55.67,55.83,375500,54.61,vw
2010-02-16,56.32,56.79,55.23,56.63,466200,55.4,vw
2010-02-17,57,59.49,56.87,59.1,1321000,57.81,vw
2010-02-18,59.1,60.3,58.28,59.42,1045600,58.13,vw
2010-02-19,59.23,60.16,58.76,60.14,879500,58.83,vw
2010-02-22,60.49,62.35,59.79,61.26,1056400,59.93,vw
2010-02-23,62,62.44,60.14,60.69,1004200,59.37,vw
2010-02-24,60.87,62.1,60.53,61.66,841000,60.32,vw
2010-02-25,61.41,62.41,60.34,60.58,778800,59.26,vw
2010-02-26,60.85,61,59.11,59.8,1362500,58.5,vw
2010-03-01,60.25,60.9,59.62,60.3,1087200,58.99,vw
2010-03-02,60.5,61.3,60.45,60.7,731800,59.38,vw
2010-03-03,61.03,62.28,60.5,62.11,785800,60.76,vw
2010-03-04,61.9,62.78,61.1,61.4,755100,60.06,vw
2010-03-05,61.95,64,61.47,63.4,1569300,62.02,vw
2010-03-08,63.73,64.79,62.72,64.63,1279100,63.22,vw
2010-03-09,64.98,65.35,63.61,63.62,948100,62.23,vw
2010-03-10,63.74,64.03,62.4,63.75,1016700,62.36,vw
2010-03-11,63.75,69.09,63.5,68.68,3020700,67.18,vw
2010-03-12,69.14,74.2,69.04,69.99,3571000,68.46,vw
2010-03-15,70.26,71,68.63,68.84,856700,67.34,vw
2010-03-16,69.45,70.88,69,70.4,591500,68.87,vw
2010-03-17,70.9,71.65,69.34,71.45,847900,69.89,vw
2010-03-18,71.36,72.77,70.55,71.48,824300,69.92,vw
2010-03-19,71.99,73.8,71.12,72.16,2087800,70.59,vw
2010-03-22,72,73.19,70.5,72.95,911800,71.36,vw
2010-03-23,72.37,72.9,66.8,68.5,5896800,67.01,vw
2010-03-24,69,69.44,68.14,69.01,2566500,67.51,vw
2010-03-25,69.5,69.53,66.57,66.57,3576000,65.12,vw
2010-03-26,68.05,69.39,67.85,69.2,3797000,67.69,vw
2010-03-29,69.49,70.42,68.9,69.34,1389200,67.83,vw
2010-03-30,69.5,70,67.43,67.91,2354100,66.43,vw
2010-03-31,67.8,68.38,66.8,67.9,5337400,66.42,vw
2010-04-01,68.1,69.65,67.75,69.52,2340700,68.01,vw
2010-04-06,69.76,71.3,69.66,71.12,2923400,69.57,vw
